%time,field.x,field.y,field.z
1663843101041468074,0.0,0.0,0.0
1663843101061557348,0.0,0.0,0.0
1663843101081463364,0.0,0.0,0.0
1663843101101591372,0.0,0.0,0.0
1663843101121635914,0.0,0.0,0.0
1663843101141440906,0.0,0.0,0.0
1663843101162569707,0.0,0.0,0.0
1663843101181556667,0.0,0.0,0.0
1663843101201451953,0.0,0.0,0.0
1663843101245658677,0.0,0.0,0.0
1663843101245701639,0.0,0.0,0.0
1663843101289609564,0.0,0.0,0.0
1663843101289672639,0.0,0.0,0.0
1663843101333593844,0.0,0.0,0.0
1663843101333608761,0.0,0.0,0.0
1663843101377562572,0.0,0.0,0.0
1663843101377588520,0.0,0.0,0.0
1663843101421660700,0.0,0.0,0.0
1663843101421712565,0.0,0.0,0.0
1663843101421725733,0.0,0.0,0.0
1663843101465531246,0.0,0.0,0.0
1663843101465545666,0.0,0.0,0.0
1663843101482265349,0.0,0.0,0.0
1663843101501361148,0.0,0.0,0.0
1663843101541526924,0.0,0.0,0.0
1663843101541538151,0.0,0.0,0.0
1663843101585715752,0.0,0.0,0.0
1663843101585835713,0.0,0.0,0.0
1663843101629569850,0.0,0.0,0.0
1663843101629598519,0.0,0.0,0.0
1663843101673718231,0.0,0.0,0.0
1663843101673731290,0.0,0.0,0.0
1663843101717747364,0.0,0.0,0.0
1663843101717778899,0.0,0.0,0.0
1663843101765531888,0.0,0.0,0.0
1663843101765553087,0.0,0.0,0.0
1663843101765561746,0.0,0.0,0.0
1663843101809514780,0.0,0.0,0.0
1663843101809544145,0.0,0.0,0.0
1663843101821363932,0.0,0.0,0.0
1663843101841185499,0.0,0.0,0.0
1663843101881592192,0.0,0.0,0.0
1663843101881606455,0.0,0.0,0.0
1663843101925561520,0.0,0.0,0.0
1663843101925574847,0.0,0.0,0.0
1663843101969685405,0.0,0.0,0.0
1663843101969745707,0.0,0.0,0.0
1663843102013642595,0.0,0.0,0.0
1663843102013676480,0.0,0.0,0.0
1663843102057562469,0.0,0.0,0.0
1663843102057575747,0.0,0.0,0.0
1663843102101611068,0.0,0.0,0.0
1663843102101621949,0.0,0.0,0.0
1663843102145534872,0.0,0.0,0.0
1663843102145564055,0.0,0.0,0.0
1663843102145571297,0.0,0.0,0.0
1663843102189603618,0.0,0.0,0.0
1663843102189638049,0.0,0.0,0.0
1663843102201182761,0.0,0.0,0.0
1663843102221360844,0.0,0.0,0.0
1663843102261581277,0.0,0.0,0.0
1663843102309637193,0.0,0.0,0.0
1663843102309666843,0.0,0.0,0.0
1663843102309695549,0.0,0.0,0.0
1663843102353539788,0.0,0.0,0.0
1663843102353561231,0.0,0.0,0.0
1663843102361951189,0.0,0.0,0.0
1663843102381842340,0.0,0.0,0.0
1663843102425566957,0.0,0.0,0.0
1663843102425587608,0.0,0.0,0.0
1663843102469578340,0.0,0.0,0.0
1663843102469591336,0.0,0.0,0.0
1663843102513544354,0.0,0.0,0.0
1663843102513576722,0.0,0.0,0.0
1663843102614797366,0.0,0.0,0.0
1663843102614854501,0.0,0.0,0.0
1663843102614867469,0.0,0.0,0.0
1663843102614880094,0.0,0.0,0.0
1663843102614896943,0.0,0.0,0.0
1663843102657510655,0.0,0.0,0.0
1663843102657529123,0.0,0.0,0.0
1663843102661827250,0.0,0.0,0.0
1663843102682210247,0.0,0.0,0.0
1663843102725571508,0.0,0.0,0.0
1663843102725587689,0.0,0.0,0.0
1663843102769544908,0.0,0.0,0.0
1663843102769559326,0.0,0.0,0.0
1663843102813482501,0.0,0.0,0.0
1663843102813496846,0.0,0.0,0.0
1663843102857555847,0.0,0.0,0.0
1663843102857600576,0.0,0.0,0.0
1663843102901516085,0.0,0.0,0.0
